ord_val,DotCntTot_min,DotCntTot_max,nb1dprime_min,nb1dprime_max,nb2dprime_min,nb2dprime_max,flankerinc2_min,flankerinc2_max,newerrors_min,newerrors_max,antisacc_min,antisacc_max,VF1Corr_min,VF1Corr_max,VF2Corr_min,VF2Corr_max,CF1Corr_min,CF1Corr_max,CF2Corr_min,CF2Corr_max,shiftscore_min,shiftscore_max,dcsp_min,dcsp_max,nb1sp_min,nb1sp_max,nb2sp_min,nb2sp_max,flksp_min,flksp_max,errsp_min,errsp_max,assp_min,assp_max,vf1sp_min,vf1sp_max,vf2sp_min,vf2sp_max,cf1sp_min,cf1sp_max,cf2sp_min,cf2sp_max,shsp_min,shsp_max
1,1,3.5,-1.110273,-0.174766,-1.940761,-0.181163,1.043206,3.992075,0,0.5,0,14.5,0,3.5,0,1.5,0,4.5,0,1.5,1.428571,2.8787835,5,8.5,-0.250658,1.705199,-1.129692,0.496188,3.931543,7.710086,0,4.5,0,38.5,1,4.5,0,4.5,6,13.5,4,8.5,2.099905,5.7207675
2,3.5,5.5,-0.174766,0.0673235,-0.181163,0.0964705,3.992075,4.461706,0.5,2.5,14.5,16.5,3.5,5.5,1.5,3.5,4.5,6.5,1.5,2.5,2.8787835,3.61841,8.5,9.5,1.705199,1.910052,0.496188,0.68557,7.710086,8.0195295,4.5,5.5,38.5,40,4.5,7.5,4.5,6.5,13.5,16.5,8.5,9.5,5.7207675,6.1104145
3,5.5,6.5,0.0673235,0.3341905,0.0964705,0.3859925,4.461706,4.9255065,2.5,4.5,16.5,18.5,5.5,7.5,3.5,4.5,6.5,8.5,2.5,4.5,3.61841,4.069274,9.5,10.5,1.910052,2.1260235,0.68557,2.48488,8.0195295,8.318979,5.5,9.5,,,7.5,8.5,6.5,7.5,16.5,17.5,9.5,10.5,6.1104145,6.526317
4,6.5,7.5,0.3341905,0.5770955,0.3859925,0.679297,4.9255065,5.355159,4.5,6.5,18.5,20.5,7.5,9.5,4.5,6.5,8.5,10.5,4.5,5.5,4.069274,4.477016,10.5,11.5,2.1260235,2.3023355,,,8.318979,8.6015385,9.5,28,,,8.5,9.5,7.5,8.5,17.5,18.5,10.5,11.5,6.526317,6.8665865
5,7.5,9.5,0.5770955,0.815267,0.679297,0.9695025,5.355159,5.791293,6.5,8.5,20.5,22.5,9.5,10.5,6.5,7.5,10.5,12.5,5.5,7.5,4.477016,4.8935465,11.5,12.5,2.3023355,2.5221485,,,8.6015385,9.869169,,,,,9.5,10.5,8.5,9.5,18.5,20.5,11.5,12.5,6.8665865,7.23786
6,9.5,10.5,0.815267,1.0591635,0.9695025,1.260313,5.791293,6.260046,8.5,10.5,22.5,24.5,10.5,12.5,7.5,9.5,12.5,14.5,7.5,8.5,4.8935465,5.304077,12.5,23,2.5221485,2.693327,,,,,,,,,10.5,12.5,9.5,10.5,20.5,26,12.5,13.5,7.23786,9.733034
7,10.5,11.5,1.0591635,1.301136,1.260313,1.559182,6.260046,6.6903985,10.5,12.5,24.5,26.5,12.5,14.5,9.5,10.5,14.5,16.5,8.5,10.5,5.304077,5.699006,,,2.693327,3.671374,,,,,,,,,12.5,25,10.5,21,,,13.5,14.5,,
8,11.5,13.5,1.301136,1.52373,1.559182,1.842819,6.6903985,7.132074,12.5,15.5,26.5,28.5,14.5,16.5,10.5,12.5,16.5,18.5,10.5,11.5,5.699006,6.108877,,,,,,,,,,,,,,,,,,,14.5,20,,
9,13.5,14.5,1.52373,1.811365,1.842819,2.127567,7.132074,7.576073,15.5,17.5,28.5,30.5,16.5,18.5,12.5,13.5,18.5,20.5,11.5,13.5,6.108877,6.510188,,,,,,,,,,,,,,,,,,,,,,
10,14.5,15.5,1.811365,2.01874,2.127567,2.434577,7.576073,8.028316,17.5,19.5,30.5,32.5,18.5,19.5,13.5,15.5,20.5,22.5,13.5,14.5,6.510188,6.920857,,,,,,,,,,,,,,,,,,,,,,
11,15.5,16.5,2.01874,2.2448285,2.434577,2.70666,8.028316,8.472236,19.5,21.5,32.5,34.5,19.5,21.5,15.5,16.5,22.5,24.5,14.5,15.5,6.920857,7.3293245,,,,,,,,,,,,,,,,,,,,,,
12,16.5,18.5,2.2448285,2.467901,2.70666,3.880582,8.472236,8.9184505,21.5,25.5,34.5,36.5,21.5,36,16.5,18.5,24.5,26.5,15.5,17.5,7.3293245,7.7333665,,,,,,,,,,,,,,,,,,,,,,
13,18.5,19.5,2.467901,2.693327,,,8.9184505,9.363408,25.5,43,36.5,38.5,,,18.5,19.5,26.5,28.5,17.5,18.5,7.7333665,8.1415275,,,,,,,,,,,,,,,,,,,,,,
14,19.5,20.5,2.693327,2.9739695,,,9.363408,9.8085895,,,38.5,40,,,19.5,22.5,28.5,40,18.5,21.5,8.1415275,8.5483245,,,,,,,,,,,,,,,,,,,,,,
15,20.5,22.5,2.9739695,3.4136145,,,9.8085895,9.961203,,,,,,,22.5,30,,,21.5,29,8.5483245,8.956466,,,,,,,,,,,,,,,,,,,,,,
16,22.5,23.5,3.4136145,3.671374,,,,,,,,,,,,,,,,,8.956466,9.358156,,,,,,,,,,,,,,,,,,,,,,
17,23.5,24.5,,,,,,,,,,,,,,,,,,,9.358156,9.861111,,,,,,,,,,,,,,,,,,,,,,
18,24.5,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,